year,value,anomaly,month,state,type
1996,2.71,2.45,04,MN,drought
1997,2.74,2.48,04,MN,drought
1998,1.21,0.95,04,MN,drought
1999,1.66,1.40,04,MN,drought
2000,1.19,0.93,04,MN,drought
2001,3.81,3.55,04,MN,drought
2002,.18,-0.08,04,MN,drought
2003,-.48,-0.74,04,MN,drought
2004,-3.11,-3.37,04,MN,drought
2005,1.89,1.63,04,MN,drought
2006,-.15,-0.41,04,MN,drought
2007,-1.76,-2.02,04,MN,drought
2008,1.66,1.40,04,MN,drought
2009,-.31,-0.57,04,MN,drought
2010,-1.36,-1.62,04,MN,drought
2011,4.05,3.79,04,MN,drought
2012,-4,-4.26,04,MN,drought
2013,1.43,1.17,04,MN,drought
2014,1.79,1.53,04,MN,drought
2015,-2.77,-3.03,04,MN,drought
1895,.12,-0.16,05,MN,drought
1896,3.49,3.21,05,MN,drought
1897,1.78,1.50,05,MN,drought
1898,.14,-0.14,05,MN,drought
1899,1.7,1.42,05,MN,drought
1900,-2.39,-2.67,05,MN,drought
1901,-1.49,-1.77,05,MN,drought
1902,1.01,0.73,05,MN,drought
1903,3.3,3.02,05,MN,drought
1904,2.94,2.66,05,MN,drought
1905,3.01,2.73,05,MN,drought
1906,3.8,3.52,05,MN,drought
1907,2.95,2.67,05,MN,drought
1908,3.5,3.22,05,MN,drought
1909,1.21,0.93,05,MN,drought
1910,-2.16,-2.44,05,MN,drought
1911,-7.16,-7.44,05,MN,drought
1912,-.1,-0.38,05,MN,drought
1913,.54,0.26,05,MN,drought
1914,.92,0.64,05,MN,drought
1915,.86,0.58,05,MN,drought
1916,3.62,3.34,05,MN,drought
1917,-.65,-0.93,05,MN,drought
1918,-2.29,-2.57,05,MN,drought
1919,.81,0.53,05,MN,drought
1920,2.09,1.81,05,MN,drought
1921,-1.33,-1.61,05,MN,drought
1922,-2.16,-2.44,05,MN,drought
1923,-3.07,-3.35,05,MN,drought
1924,-5.24,-5.52,05,MN,drought
1925,-1.34,-1.62,05,MN,drought
1926,-1.65,-1.93,05,MN,drought
1927,2.97,2.69,05,MN,drought
1928,-1.21,-1.49,05,MN,drought
1929,-.49,-0.77,05,MN,drought
1930,-1.59,-1.87,05,MN,drought
1931,-3.69,-3.97,05,MN,drought
1932,-1.65,-1.93,05,MN,drought
1933,-1.76,-2.04,05,MN,drought
1934,-7.22,-7.50,05,MN,drought
1935,.33,0.05,05,MN,drought
1936,-.6,-0.88,05,MN,drought
1937,-2.97,-3.25,05,MN,drought
1938,2.5,2.22,05,MN,drought
1939,-2.26,-2.54,05,MN,drought
1940,-3.91,-4.19,05,MN,drought
1941,.52,0.24,05,MN,drought
1942,2.54,2.26,05,MN,drought
1943,2.81,2.53,05,MN,drought
1944,1.83,1.55,05,MN,drought
1945,2.96,2.68,05,MN,drought
1946,1.68,1.40,05,MN,drought
1947,2.37,2.09,05,MN,drought
1948,-1.05,-1.33,05,MN,drought
1949,-2.14,-2.42,05,MN,drought
1950,3.18,2.90,05,MN,drought
1951,1.04,0.76,05,MN,drought
1952,-1.78,-2.06,05,MN,drought
1953,1.4,1.12,05,MN,drought
1954,2.28,2.00,05,MN,drought
1955,-2.43,-2.71,05,MN,drought
1956,-1.59,-1.87,05,MN,drought
1957,.31,0.03,05,MN,drought
1958,-1.83,-2.11,05,MN,drought
1959,1.18,0.90,05,MN,drought
1960,1.44,1.16,05,MN,drought
1961,-.99,-1.27,05,MN,drought
1962,2.08,1.80,05,MN,drought
1963,.43,0.15,05,MN,drought
1964,-.24,-0.52,05,MN,drought
1965,3.21,2.93,05,MN,drought
1966,-.49,-0.77,05,MN,drought
1967,.46,0.18,05,MN,drought
1968,.65,0.37,05,MN,drought
1969,-.71,-0.99,05,MN,drought
1970,1.5,1.22,05,MN,drought
1971,1.59,1.31,05,MN,drought
1972,2.52,2.24,05,MN,drought
1973,2.18,1.90,05,MN,drought
1974,2.75,2.47,05,MN,drought
1975,1.3,1.02,05,MN,drought
1976,-2.14,-2.42,05,MN,drought
1977,-6.87,-7.15,05,MN,drought
1978,1.93,1.65,05,MN,drought
1979,3.45,3.17,05,MN,drought
1980,-2.46,-2.74,05,MN,drought
1981,-2.13,-2.41,05,MN,drought
1982,2.36,2.08,05,MN,drought
1983,2.72,2.44,05,MN,drought
1984,1.97,1.69,05,MN,drought
1985,2.64,2.36,05,MN,drought
1986,3.66,3.38,05,MN,drought
1987,-1.56,-1.84,05,MN,drought
1988,-4.86,-5.14,05,MN,drought
1989,-2.98,-3.26,05,MN,drought
1990,.1,-0.18,05,MN,drought
1991,1.46,1.18,05,MN,drought
1992,1.51,1.23,05,MN,drought
1993,2.79,2.51,05,MN,drought
1994,2.65,2.37,05,MN,drought
1995,2.68,2.40,05,MN,drought
1996,2.61,2.33,05,MN,drought
1997,2.28,2.00,05,MN,drought
1998,1.08,0.80,05,MN,drought
1999,2.42,2.14,05,MN,drought
2000,1.25,0.97,05,MN,drought
2001,3.85,3.57,05,MN,drought
2002,.04,-0.24,05,MN,drought
2003,.31,0.03,05,MN,drought
2004,1.73,1.45,05,MN,drought
2005,2.43,2.15,05,MN,drought
2006,-.55,-0.83,05,MN,drought
2007,-1.89,-2.17,05,MN,drought
2008,1.56,1.28,05,MN,drought
2009,-.97,-1.25,05,MN,drought
2010,-1.31,-1.59,05,MN,drought
2011,4.33,4.05,05,MN,drought
2012,-2.18,-2.46,05,MN,drought
2013,2.15,1.87,05,MN,drought
2014,1.89,1.61,05,MN,drought
2015,1.3,1.02,05,MN,drought
1895,.82,0.57,06,MN,drought
1896,2.9,2.65,06,MN,drought
1897,2.36,2.11,06,MN,drought
1898,.4,0.15,06,MN,drought
1899,2.4,2.15,06,MN,drought
1900,-3.78,-4.03,06,MN,drought
1901,-.44,-0.69,06,MN,drought
1902,.78,0.53,06,MN,drought
1903,2.06,1.81,06,MN,drought
1904,2.86,2.61,06,MN,drought
1905,4.43,4.18,06,MN,drought
1906,3.93,3.68,06,MN,drought
1907,2.76,2.51,06,MN,drought
1908,4.2,3.95,06,MN,drought
1909,.7,0.45,06,MN,drought
1910,-3.58,-3.83,06,MN,drought
1911,-7.11,-7.36,06,MN,drought
1912,-1.09,-1.34,06,MN,drought
1913,-.56,-0.81,06,MN,drought
1914,2.63,2.38,06,MN,drought
1915,2.64,2.39,06,MN,drought
1916,4.04,3.79,06,MN,drought
1917,-.95,-1.20,06,MN,drought
1918,-3.09,-3.34,06,MN,drought
1919,1.19,0.94,06,MN,drought
1920,2.82,2.57,06,MN,drought
1921,-2.19,-2.44,06,MN,drought
1922,-2.61,-2.86,06,MN,drought
1923,-2.78,-3.03,06,MN,drought
1924,.27,0.02,06,MN,drought
1925,1.43,1.18,06,MN,drought
1926,-1.71,-1.96,06,MN,drought
1927,-.12,-0.37,06,MN,drought
1928,.25,0.00,06,MN,drought
1929,-1.38,-1.63,06,MN,drought
1930,-1.55,-1.80,06,MN,drought
1931,-3.56,-3.81,06,MN,drought
1932,-2.3,-2.55,06,MN,drought
1933,-3.09,-3.34,06,MN,drought
1934,-7.07,-7.32,06,MN,drought
1935,.91,0.66,06,MN,drought
1936,-1.65,-1.90,06,MN,drought
1937,-3.16,-3.41,06,MN,drought
1938,-.41,-0.66,06,MN,drought
1939,-1.63,-1.88,06,MN,drought
1940,-3.83,-4.08,06,MN,drought
1941,.9,0.65,06,MN,drought
1942,2.17,1.92,06,MN,drought
1943,3.39,3.14,06,MN,drought
1944,2.99,2.74,06,MN,drought
1945,3.18,2.93,06,MN,drought
1946,2.45,2.20,06,MN,drought
1947,3.07,2.82,06,MN,drought
1948,-1.09,-1.34,06,MN,drought
1949,-2.04,-2.29,06,MN,drought
1950,-.46,-0.71,06,MN,drought
1951,1.48,1.23,06,MN,drought
1952,.22,-0.03,06,MN,drought
1953,2.32,2.07,06,MN,drought
1954,-.17,-0.42,06,MN,drought
1955,-2.63,-2.88,06,MN,drought
1956,-1.95,-2.20,06,MN,drought
1957,1.87,1.62,06,MN,drought
1958,-1.63,-1.88,06,MN,drought
1959,.64,0.39,06,MN,drought
1960,-.02,-0.27,06,MN,drought
1961,-2.28,-2.53,06,MN,drought
1962,1.6,1.35,06,MN,drought
1963,.12,-0.13,06,MN,drought
1964,-.15,-0.40,06,MN,drought
1965,3,2.75,06,MN,drought
1966,-.96,-1.21,06,MN,drought
1967,1.5,1.25,06,MN,drought
1968,1.81,1.56,06,MN,drought
1969,.13,-0.12,06,MN,drought
1970,-.46,-0.71,06,MN,drought
1971,1.7,1.45,06,MN,drought
1972,1.53,1.28,06,MN,drought
1973,1.27,1.02,06,MN,drought
