year,value,anomaly,month,state,type
1913,-.18,-0.13,04,IN,drought
1914,-2.03,-1.98,04,IN,drought
1915,-5.23,-5.18,04,IN,drought
1916,-1.1,-1.05,04,IN,drought
1917,.4,0.45,04,IN,drought
1918,-1.17,-1.12,04,IN,drought
1919,-.39,-0.34,04,IN,drought
1920,1.12,1.17,04,IN,drought
1921,-.75,-0.70,04,IN,drought
1922,3.08,3.13,04,IN,drought
1923,-.44,-0.39,04,IN,drought
1924,.97,1.02,04,IN,drought
1925,-2.36,-2.31,04,IN,drought
1926,.49,0.54,04,IN,drought
1927,3.16,3.21,04,IN,drought
1928,1.58,1.63,04,IN,drought
1929,1.07,1.12,04,IN,drought
1930,-1.12,-1.07,04,IN,drought
1931,-6.44,-6.39,04,IN,drought
1932,-.72,-0.67,04,IN,drought
1933,2.65,2.70,04,IN,drought
1934,-4.1,-4.05,04,IN,drought
1935,-3.57,-3.52,04,IN,drought
1936,-1.87,-1.82,04,IN,drought
1937,1.95,2.00,04,IN,drought
1938,1.5,1.55,04,IN,drought
1939,2.14,2.19,04,IN,drought
1940,-2.58,-2.53,04,IN,drought
1941,-5.2,-5.15,04,IN,drought
1942,.3,0.35,04,IN,drought
1943,.38,0.43,04,IN,drought
1944,-.9,-0.85,04,IN,drought
1945,1.38,1.43,04,IN,drought
1946,-1.52,-1.47,04,IN,drought
1947,1.2,1.25,04,IN,drought
1948,.56,0.61,04,IN,drought
1949,1.76,1.81,04,IN,drought
1950,4.88,4.93,04,IN,drought
1951,3.59,3.64,04,IN,drought
1952,2.48,2.53,04,IN,drought
1953,-1.24,-1.19,04,IN,drought
1954,-4.57,-4.52,04,IN,drought
1955,-.32,-0.27,04,IN,drought
1956,.54,0.59,04,IN,drought
1957,1.13,1.18,04,IN,drought
1958,-1.74,-1.69,04,IN,drought
1959,-.19,-0.14,04,IN,drought
1960,-1.37,-1.32,04,IN,drought
1961,1.31,1.36,04,IN,drought
1962,-1.02,-0.97,04,IN,drought
1963,-.94,-0.89,04,IN,drought
1964,-2.11,-2.06,04,IN,drought
1965,-2.14,-2.09,04,IN,drought
1966,-1.1,-1.05,04,IN,drought
1967,.03,0.08,04,IN,drought
1968,-.78,-0.73,04,IN,drought
1969,-.84,-0.79,04,IN,drought
1970,.85,0.90,04,IN,drought
1971,-1.53,-1.48,04,IN,drought
1972,1.18,1.23,04,IN,drought
1973,2.39,2.44,04,IN,drought
1974,1.64,1.69,04,IN,drought
1975,2.71,2.76,04,IN,drought
1976,-1.08,-1.03,04,IN,drought
1977,-1.32,-1.27,04,IN,drought
1978,1.25,1.30,04,IN,drought
1979,1.61,1.66,04,IN,drought
1980,2.04,2.09,04,IN,drought
1981,.54,0.59,04,IN,drought
1982,2.05,2.10,04,IN,drought
1983,.94,0.99,04,IN,drought
1984,1.23,1.28,04,IN,drought
1985,-.92,-0.87,04,IN,drought
1986,-1.2,-1.15,04,IN,drought
1987,-1.88,-1.83,04,IN,drought
1988,-1.08,-1.03,04,IN,drought
1989,1.04,1.09,04,IN,drought
1990,1.69,1.74,04,IN,drought
1991,-.25,-0.20,04,IN,drought
1992,-2.19,-2.14,04,IN,drought
1993,2.77,2.82,04,IN,drought
1994,-.39,-0.34,04,IN,drought
1995,.32,0.37,04,IN,drought
1996,1.28,1.33,04,IN,drought
1997,2.55,2.60,04,IN,drought
1998,1.09,1.14,04,IN,drought
1999,-.16,-0.11,04,IN,drought
2000,-3.64,-3.59,04,IN,drought
2001,-1.71,-1.66,04,IN,drought
2002,3.41,3.46,04,IN,drought
2003,-2.28,-2.23,04,IN,drought
2004,1.29,1.34,04,IN,drought
2005,-.9,-0.85,04,IN,drought
2006,.57,0.62,04,IN,drought
2007,-.02,0.03,04,IN,drought
2008,2.61,2.66,04,IN,drought
2009,2.09,2.14,04,IN,drought
2010,-1.32,-1.27,04,IN,drought
2011,2.92,2.97,04,IN,drought
2012,-1.9,-1.85,04,IN,drought
2013,1.45,1.50,04,IN,drought
2014,1.22,1.27,04,IN,drought
2015,1.97,2.02,04,IN,drought
1895,-2.75,-2.74,05,IN,drought
1896,-3.42,-3.41,05,IN,drought
1897,-.17,-0.16,05,IN,drought
1898,1.78,1.79,05,IN,drought
1899,-1.2,-1.19,05,IN,drought
1900,-2.86,-2.85,05,IN,drought
1901,-2.36,-2.35,05,IN,drought
1902,-3.92,-3.91,05,IN,drought
1903,-.63,-0.62,05,IN,drought
1904,-.3,-0.29,05,IN,drought
1905,.55,0.56,05,IN,drought
1906,-1.43,-1.42,05,IN,drought
1907,1.3,1.31,05,IN,drought
1908,3.73,3.74,05,IN,drought
1909,1.57,1.58,05,IN,drought
1910,-1.75,-1.74,05,IN,drought
1911,-.86,-0.85,05,IN,drought
1912,1.82,1.83,05,IN,drought
1913,-.64,-0.63,05,IN,drought
1914,-2.48,-2.47,05,IN,drought
1915,.56,0.57,05,IN,drought
1916,.07,0.08,05,IN,drought
1917,.94,0.95,05,IN,drought
1918,-1.1,-1.09,05,IN,drought
1919,-.03,-0.02,05,IN,drought
1920,-.13,-0.12,05,IN,drought
1921,-1.45,-1.44,05,IN,drought
1922,-.39,-0.38,05,IN,drought
1923,.46,0.47,05,IN,drought
1924,1.19,1.20,05,IN,drought
1925,-2.99,-2.98,05,IN,drought
1926,-.54,-0.53,05,IN,drought
1927,3.97,3.98,05,IN,drought
1928,1.03,1.04,05,IN,drought
1929,2.18,2.19,05,IN,drought
1930,-1.92,-1.91,05,IN,drought
1931,-6.07,-6.06,05,IN,drought
1932,-1.68,-1.67,05,IN,drought
1933,3.7,3.71,05,IN,drought
1934,-4.99,-4.98,05,IN,drought
1935,-2,-1.99,05,IN,drought
1936,-2.6,-2.59,05,IN,drought
1937,1.54,1.55,05,IN,drought
1938,1.81,1.82,05,IN,drought
1939,-1.1,-1.09,05,IN,drought
1940,-2.09,-2.08,05,IN,drought
1941,-5.52,-5.51,05,IN,drought
1942,.14,0.15,05,IN,drought
1943,1.98,1.99,05,IN,drought
1944,-1.04,-1.03,05,IN,drought
1945,1.65,1.66,05,IN,drought
1946,-.69,-0.68,05,IN,drought
1947,1.61,1.62,05,IN,drought
1948,.51,0.52,05,IN,drought
1949,1.21,1.22,05,IN,drought
1950,3.91,3.92,05,IN,drought
1951,2.84,2.85,05,IN,drought
1952,2.3,2.31,05,IN,drought
1953,-1.31,-1.30,05,IN,drought
1954,-4.37,-4.36,05,IN,drought
1955,-.51,-0.50,05,IN,drought
1956,.93,0.94,05,IN,drought
1957,1.59,1.60,05,IN,drought
1958,-1.68,-1.67,05,IN,drought
1959,-.31,-0.30,05,IN,drought
1960,.22,0.23,05,IN,drought
1961,1.85,1.86,05,IN,drought
1962,-1.18,-1.17,05,IN,drought
1963,-1.21,-1.20,05,IN,drought
1964,-3,-2.99,05,IN,drought
1965,-2.83,-2.82,05,IN,drought
